FILE,SYMBOL,STATE,PRE-SLICE OWNER,POST-SLICE ROLE,CANONICAL WRITER?,PROOF
src/media/PlaybackStateMachine.js,updateContext,"isPlaying; playbackState; buffering; network; timeline",LEGACY,"Compatibility observation router; stores only unmigrated business/Selection fields",NO,"_CORE_TRANSPORT_KEYS split followed by patch=businessPatch; architecture contract"
src/media/PlaybackStateMachine.js,transition,"loading; paused; idle; recovery",LEGACY,"Execution orchestrator emitting typed Core observations",NO,"reportTransportObservation; no CommitGate or DomainStore access"
src/lib/playback/PlaybackHelperService.js,patchState,"status; network; timeline",LEGACY,"Compatibility producer routed through PSM filter and neutral observation port",NO,"Core status/timeline getters and subscriptions; reportTransportTimeline"
src/lib/playback/PlaybackEventHandlers.js,onPlay/onPlaying,"PLAYING; readiness",LEGACY,"Physical observation producer",NO,"PHYSICAL_PLAY and PHYSICAL_PLAYING observations"
src/lib/playback/PlaybackEventHandlers.js,onPause,PAUSED/RECOVERING,LEGACY,"Physical observation producer with consume-once effect context",NO,"PHYSICAL_PAUSE plus takePhysicalObservationContext"
src/lib/playback/PlaybackEventHandlers.js,onWaiting/onStalled/onCanPlayThrough,BUFFERING/LOADING,LEGACY,"Debounced physical observation producer",NO,"PHYSICAL_WAITING; PHYSICAL_STALLED; PHYSICAL_CANPLAY"
src/lib/playback/PlaybackEventHandlers.js,onSeeking/onSeeked,SEEKING/post-seek,LEGACY,"Physical observation producer",NO,"PHYSICAL_SEEKING; PHYSICAL_SEEKED; forced physical timeline observation"
src/lib/playback/PlaybackEventHandlers.js,onEnded,ENDED,LEGACY,"Physical observation producer; legacy Selection may request NEXT",NO,"PHYSICAL_ENDED; queue mutation remains outside Transport"
src/lib/playback/PlaybackEventHandlers.js,onError,ERROR/RECOVERING/DEGRADED,LEGACY,"Physical observation and recovery producer",NO,"PHYSICAL_ERROR plus recovery observations"
src/lib/playback/PlaybackStreamCommands.js,stream/load completion,"loading; playing; paused; error",LEGACY,"Physical executor; old patch shapes are observation proposals",NO,"PSM transport-key stripping; physical DOM facts establish PLAYING"
src/lib/playback/PlaybackTransportCommands.js,pauseInternal/resumeInternal/seekInternal,"paused; playing; seeking; rate",LEGACY,"Physical executor and mode observation producer",NO,"captured pause context; reportTransportMode; PSM filter"
src/lib/playback/PlaybackRecoveryCommands.js,recoverAudioHard,"recovering; playing; paused; error",LEGACY,"Recovery executor",NO,"PSM recovery captures authority once and reports completion through Core"
src/lib/playback/recovery-coordinator.js,coordinate,network/error,LEGACY,"Recovery coordination only",NO,"All state patches terminate at PSM observation filter"
src/lib/playback/usePlaybackEffects.js,engine event wiring,"timeline; volume; playback rate",LEGACY,"Physical engine wiring and observation producer",NO,"Engine VOLUME/RATE_CHANGE -> reportTransportMode; events -> handlers"
src/lib/playback/usePlaybackPublicApi.js,public controls,"repeat; shuffle; queue; identity",LEGACY,"Selection and queue-traversal policy owner",NO,"No Transport ownership transfer; repeat/shuffle remain with Selection"
src/lib/audio/WebAudioEngine.js,_attachAudioElementListeners,"play; playing; pause; waiting; stalled; seeking; seeked; ended; error",PHYSICAL,"Generic physical observation producer through injected handlers",NO,"No Playback Core import; DOM event forwarding test"
src/lib/playback/transport-observation-port.js,report/get/subscribe,"status; timeline; mode",NONE,"Dependency-inversion seam and fail-closed compatibility projection",NO,"No Core internals imported; authority unavailable rejects"
src/lib/playback-core/transport/TransportAuthority.js,observe,"TransportStatus",NONE,"Authority validator and canonical proposal producer",YES,"CoreEpoch + desiredRevision + sourceIntentId + media identity validation; CommitGate.propose"
src/lib/playback-core/transport/TransportAuthority.js,observeTimeline,"TransportTimeline",NONE,"Physical-clock observation throttler and canonical proposal producer",YES,"250 ms presentation cadence; no synthetic clock"
src/lib/playback-core/transport/TransportAuthority.js,observeMode,"TransportMode",NONE,"Canonical mode proposal producer",YES,"Validated volume/rate observations through CommitGate"
src/lib/playback-core/commands/CommitGate.js,propose,"all Core DomainStores",CORE,"Single write boundary",YES,"Only production caller of DomainStore._applyCommit; ownership and authority checks"
src/lib/playback-core/production/wireProductionCore.js,buildWiredCore,"Transport ownership",LEGACY,"Production composition root",NO,"Transfers Domain.TRANSPORT once; never transfers Selection or reverts Transport"
src/context/AudioContext.js,AudioProvider/hooks,"status; timeline",LEGACY CONSUMER,"Core subscriber and legacy-compatible projection",NO,"useProductionTransportStatus/Timeline; no legacy Transport fallback"
src/components/audio/GlobalAudioPlayerBar.js,GlobalAudioPlayerBar,"status; controls; recovery",LEGACY CONSUMER,"Direct Core Transport subscriber",NO,"useProductionTransportStatus"
src/media/useMediaEngine.js,useMediaEngine,"status; timeline",MIXED LEGACY CONSUMER,"Core-derived AudioContext and Core timeline consumer",NO,"element/bridge/audibility Transport fallback removed"
