FILE,SYMBOL,CONTINUITY FIELD,READ/WRITE,CURRENT OWNER,TARGET ROLE,MIGRATION ACTION
lib/playback-core/continuity/ContinuityAuthority.js,ContinuityAuthority (all methods),schemaVersion+mediaIdentity+releaseId+trackId+savedPositionSeconds+sessionPositionSeconds+capturedAt+validatedAt,WRITE,CORE,CORE canonical authority,"Created — sole canonical Continuity writer via dedicated CommitGate; delegates Selection restoration to SelectionAuthority.restoreSelection() (never writes Selection itself); validates position restores but never seeks"
lib/playback-core/continuity/continuity-candidate.js,buildContinuityCandidate(),n/a (pure validation),n/a,CORE,CORE contract,"Created — first schema gate a persisted payload must pass before any authority looks at it; fails closed on non-object/bad-version/malformed-selection/out-of-bounds-index"
lib/playback-core/state/createDomainStores.js,INITIAL_CONTINUITY,schemaVersion+mediaIdentity+releaseId+trackId+savedPositionSeconds+sessionPositionSeconds+capturedAt+validatedAt,WRITE (default),CORE,CORE store init,Reshaped the placeholder CONTINUITY store to the ContinuityCandidate-aligned bookkeeping shape
lib/playback-core/types/index.js,ContinuityTransitionType / CommitRejectionReason additions,n/a,constants,CORE,CORE contract,Added CONTINUITY_EPOCH_MISMATCH/CONTINUITY_SCHEMA_INVALID/CONTINUITY_INVALID rejection reasons + named transition enum
lib/playback-core/core/PlaybackCore.js,PlaybackCore.create()/_continuityAuthority,n/a,wiring,CORE,CORE assembly,"Constructs dedicated AuthorityGate+CommitGate+ContinuityAuthority (mirrors Selection/Transport pattern exactly); passes selectionAuthority reference for delegation; exposes _continuityAuthority"
lib/playback-core/production/wireProductionCore.js,buildWiredCore(),all Continuity bookkeeping fields,WRITE (transfer+sink install),CORE,CORE production wiring,"Added _transferDomainToCore(Domain.CONTINUITY) + installContinuityAuthoritySink(...); added _disposeContinuitySink cleanup in resetProductionPlaybackCore()"
lib/playback/continuity-port.js,installContinuityAuthoritySink/beginContinuitySelectionRestore/validateContinuityCandidate/proposeContinuitySelectionRestore/validateContinuityPositionRestore/clearContinuitySnapshot,all Continuity fields,bridge,neutral seam,neutral dependency-inversion seam,"Created — mirrors selection-port.js/transport-observation-port.js exactly; legacy never imports playback-core directly; fails closed (CONTINUITY_AUTHORITY_UNAVAILABLE) with no sink installed"
lib/playback/usePlaybackEffects.js,Effect 3 (session restore),queue+queueIndex+repeatMode+shuffle (via Selection restore),WRITE,LEGACY,demoted to caller of ContinuityAuthority,"Replaced direct captureSelectionContext+proposeSelection('restoreSelection') with beginContinuitySelectionRestore -> validateContinuityCandidate -> proposeContinuitySelectionRestore; preserves the exact pre-existing repeatMode='off'/shuffle-restored asymmetry (not redesigned by this slice); removed now-unused captureSelectionContext import"
components/system/AudioPhase10Bridge.js,recovery event handler ('2mrrw:playback-recovery'),queue+queueIndex (via Selection restore)+currentTime (via position restore),WRITE,LEGACY,demoted to caller of ContinuityAuthority,"Replaced dispatchPlaybackCommand('setQueue',...) with beginContinuitySelectionRestore -> validateContinuityCandidate -> proposeContinuitySelectionRestore; FIXED a real gap — the deferred seek (waits up to 5s for engine stability) previously called seek(targetTime) unconditionally with no re-validation; now wrapped in attemptSeek() which calls validateContinuityPositionRestore (media-identity + epoch check) immediately before every seek, both the immediate and deferred/failsafe paths"
lib/playback/session-memory.js,savePlaybackSession/loadPlaybackSession/clearPlaybackSession,queue+queueIndex+shuffle+repeatMode+savedAt (localStorage persistence only),READ/WRITE (unchanged),I/O layer,unchanged (CLOSED_AND_PRESERVE),"Pure client persistence of plain data, not canonical authority itself; feeds Effect 3 which now routes through Continuity; loadPlaybackSessionServerFirst/clearPlaybackSession remain confirmed-dead exports, left untouched (out of scope — not a Continuity-authority risk)"
lib/playback/position-memory.js,getSavedPlaybackPosition/savePlaybackPosition,per-track position (localStorage persistence only),READ/WRITE (unchanged),I/O layer,unchanged (CLOSED_AND_PRESERVE),"No change required; consumed by PlaybackStreamCommands.js's already-correct 3-tier resumeAt resolution, which resolves fresh at play-time and is not a staleness-risk path"
system/recovery/usePlaybackRecovery.js,restore()/onRestore,queueIds+queueIndex+currentTime (sessionStorage, dead path),READ/WRITE (unchanged),I/O layer,unchanged (DEAD),"Confirmed dead — AudioPhase10Bridge.js passes onRestore: () => {}; left untouched rather than rebuilt, per this slice's audit-before-code directive"
system/recovery/useSessionRecovery.js,mount-effect hydrate + '2mrrw:playback-recovery' dispatch,queueIds+queueIndex+currentTime+tracks,READ (unchanged),I/O + trigger layer,unchanged (CLOSED_AND_PRESERVE),"This is the REAL restore trigger (not usePlaybackRecovery's dead path); no change required — it only loads and hydrates, then dispatches the event AudioPhase10Bridge.js now routes through Continuity"
system/recovery/recoveryStore.js,save/load/clear,queueIds+queueIndex+currentTime+savedAt (sessionStorage),READ/WRITE (unchanged),I/O layer,unchanged (CLOSED_AND_PRESERVE),No change required — plain persisted-data accessor consumed by useSessionRecovery.js
lib/playback/PlaybackRecoveryCommands.js,resumePlaybackTransport/recoverAudioHard/releaseLifecycleRecoveryLock/clearBfcacheRecoveryInProgress,currentTrack (representation)+isPlaying (unchanged),WRITE (unchanged),LEGACY call site,unchanged (CLOSED_AND_PRESERVE),"No code change; newly certified by a static test that resumePlaybackTransport (the one entry point Continuity-driven restore calls post-restore) always re-checks isEntitledFullPlaybackTrack and never itself sets isPlaying:true — actually starting audio remains a separate, later, entitlement-gated action"
lib/playback/PlaybackHelperService.js,computeLifecycleAudioTruthState() lifecycle-truth classification (USER_PAUSED/RECOVERING/OS_SUSPENDED/USER_PLAYING decision tree),lifecycleAudioTruthStateRef (local ref only),WRITE (unchanged),EXECUTION_HELPER,unchanged — reclassified from LEGACY_AUTHORITY,"Forensically mapped by the addendum: this decision tree reads physical facts (transport health, audio.paused/ended, ctx.state) plus legacy lifecycle refs and writes ONLY a local presentation ref (lifecycleAudioTruthStateRef) — it has no canonical-truth write path of its own. Reclassified once the one canonical-write path it drove (the Phase 21C freeze push, next row) was closed; nothing else in this function writes Selection/Transport/DesiredState."
lib/playback/PlaybackHelperService.js,computeLifecycleAudioTruthState() Phase 21C freeze capture + release push,TransportTimeline.position+duration (via TransportAuthority.observeTimeline),WRITE,CORE-DERIVED PROJECTION,FIXED — routes through TransportAuthority's own canonical gate,"BLOCKER 2 fix: previously called playbackStateMachine.updateContext({currentTime,duration}), whose compatibility shim always captures a context FRESH at push time (transport-observation-port.js's default parameter) — structurally incapable of ever looking stale, silently defeating TransportAuthority's own pre-existing DESIRED_REVISION_MISMATCH/MEDIA_IDENTITY_MISMATCH gates for exactly the case they exist to catch (old lifecycle work finishing after Core moved on). Now calls reportTransportTimeline(...) directly with a context captured via captureTransportObservationContext({mediaIdentity: snapshot.trackId}) at the moment the frozen snapshot is built, tying the pushed identity to the same snapshot the pushed position describes; TransportAuthority's own gate (unmodified) now correctly protects this write. This is CORE-owned Transport authority the freeze mechanism PROPOSES into — never a second canonical writer."
lib/playback/media-session-artwork.js,persist (sessionStorage 2mrrw:media-session-track),track title/artwork metadata,WRITE only (unchanged),I/O layer,unchanged (DEAD/PRESENTATION_ONLY),"Persist-only; read/clear are never called — left untouched, not a Continuity-authority risk"
app/api/queue/route.js,GET/PUT,queue+queue_index+shuffle+repeat_mode (Supabase user_playback_queue),READ/WRITE (unchanged),server persistence,unchanged,"Server-side mirror for cross-device restore; no position field server-side; not part of this client-Core migration"
lib/playback/PlaybackStreamCommands.js,playTrackInternal 3-tier resumeAt resolution,resumeAt (explicit param -> position-memory.js -> server mediaProgress),READ (unchanged),LEGACY call site,unchanged (CLOSED_AND_PRESERVE),"Already uses RESTORE_MIN_POSITION_SEC/clampRestorePosition; resolves fresh at play-time for the just-selected track, so it is not a staleness-risk path this slice needed to touch"
lib/playback-core/adapters/PlaybackCoreAdapter.js / core/ConvergenceEngine.js,resumePolicy field threading (ResumePolicy enum),n/a,dormant (unchanged),n/a,intentionally left dormant,"Confirmed pre-existing gap: resumePolicy flows through IntentFactory -> DesiredStateReducer -> ConvergenceEngine -> PlaybackCoreAdapter's dispatchStep options but is never read by playTrackInternal (only options.resumeAt matters); not fixed in this slice — wiring resumePolicy into the legacy play path is a separate initiative, not a Continuity-authority defect"
