FILE,SYMBOL,SELECTION FIELD,READ/WRITE,CURRENT OWNER,TARGET ROLE,MIGRATION ACTION
lib/playback-core/selection/SelectionAuthority.js,SelectionAuthority (all methods),nowPlaying+queue+queueIndex+repeatMode+shuffle,WRITE,CORE,CORE canonical authority,Created — sole canonical Selection writer via dedicated CommitGate
lib/playback-core/state/createDomainStores.js,INITIAL_SELECTION,nowPlaying+queue+queueIndex+repeatMode+shuffle,WRITE (default),CORE,CORE store init,Replaced separate dormant NOW_PLAYING+QUEUE stores with one atomic SELECTION store
lib/playback-core/types/index.js,StoreKey.SELECTION / SelectionTransitionType,n/a,constants,CORE,CORE contract,Removed StoreKey.NOW_PLAYING/QUEUE; added StoreKey.SELECTION + named transition enum + rejection reasons
lib/playback-core/core/PlaybackCore.js,PlaybackCore.create()/_selectionAuthority,n/a,wiring,CORE,CORE assembly,Constructs dedicated AuthorityGate+CommitGate+SelectionAuthority; exposes _selectionAuthority
lib/playback-core/production/wireProductionCore.js,buildWiredCore(),nowPlaying+queue+queueIndex+repeatMode+shuffle,WRITE (transfer+sink install),CORE,CORE production wiring,"Added _transferDomainToCore(Domain.SELECTION) + installSelectionAuthoritySink(...)"
lib/playback-core/adapters/ReactPlaybackAdapter.js,useSelection,n/a,hook,CORE,CORE React boundary,Replaced dormant useNowPlaying/useQueue with one useSelection hook bound to StoreKey.SELECTION
lib/playback-core/production/useProductionSelection.js,useProductionSelection(selector),nowPlaying+queue+queueIndex+repeatMode+shuffle,READ (hook),CORE,CORE React boundary,Created — production direct-subscription hook mirroring useProductionTransport.js
lib/playback/selection-port.js,proposeSelection/getCanonicalSelection/subscribeCanonicalSelection,nowPlaying+queue+queueIndex+repeatMode+shuffle,bridge,neutral seam,neutral dependency-inversion seam,Created — mirrors transport-observation-port.js; legacy never imports playback-core directly
media/PlaybackStateMachine.js,updateContext()/coreSelectionProjection()/_onCoreSelectionCommit(),currentTrack+currentTrackId+queue+queueIndex+repeatMode+shuffle,WRITE->READ (demoted to projection),LEGACY->CORE-projected,Compatibility projection,"Strips selection-identity keys from this.context; forwards as updateNowPlayingRepresentation proposals; composes _contextSnapshot/_identitySnapshot from Core; resetContext() calls clearQueue()"
lib/playback/PlaybackQueueCommands.js,setQueueInternal/playNextInternal/playPreviousInternal/playQueueInternal,queue+queueIndex+currentTrack+shuffleOrder,WRITE,LEGACY,demoted to caller of SelectionAuthority,Rewritten to propose setQueueAndSelect/next/previous instead of mutating queueRef/queueIndexRef/shuffledOrderRef directly; advanceShuffleOrder deleted (logic moved into SelectionAuthority.next/previous)
